ID,item_Persib,item_PBR,item_Persija,item_SPadang,item_Sriwijaya,item_Arema,item_PSM,item_Persipura,item_Persiba,item_Persisam,item_Kukar,item_Barito,item_Timnas,custom_name,jumlah_item_1,jumlah_item_2,jumlah_item_lbs3,jumlah_transaksi_1,jumlah_transaksi_lbs2
JJ-0001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
JJ-0005,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
JJ-0006,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
JJ-0007,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
JJ-0008,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
JJ-0009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
JJ-0010,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1
JJ-0011,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
JJ-0012,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
JJ-0014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
